2 0.000000 100.000000 579.435449
25 16 
1 -5.991777 0.000000 -5.991777 96.119802 -0.000002 27.565983 0.000110 
2 6.146616 0.000000 -5.991777 96.124319 -0.000004 27.534142 0.000199 
3 6.146616 0.000000 6.023179 96.158957 -0.000015 27.469049 -0.000109 
4 -5.991777 0.000000 6.023179 96.136228 -0.000002 27.564541 -0.000198 
5 0.077419 0.000000 0.015701 97.483162 0.000355 0.026024 0.049703 
6 -5.991777 0.000000 0.015701 96.129197 -0.000003 27.575137 -0.000121 
7 0.077419 0.000000 -5.991777 96.108022 -0.000004 27.546311 0.000445 
8 6.146616 0.000000 0.015701 96.273712 -0.000045 27.026388 0.000095 
9 0.077419 0.000000 6.023179 96.157800 -0.000007 27.533667 -0.000443 
10 -2.957179 0.000000 -2.988038 96.100680 -0.000007 27.572629 0.000441 
11 -5.991777 0.000000 -2.988038 96.120607 -0.000002 27.571125 0.000066 
12 -2.957179 0.000000 -5.991777 96.112731 -0.000003 27.561480 0.000271 
13 0.077419 0.000000 -2.988038 96.054328 -0.000017 27.494972 0.001759 
14 -2.957179 0.000000 0.015701 96.137814 -0.000015 27.609193 -0.000475 
15 3.112018 0.000000 -2.988038 96.118532 -0.000017 27.446789 0.000790 
16 3.112018 0.000000 -5.991777 96.115996 -0.000005 27.533694 0.000361 
17 6.146616 0.000000 -2.988038 96.137194 -0.000012 27.481111 0.000243 
18 3.112018 0.000000 0.015701 96.590378 0.000241 25.851699 0.000199 
19 3.112018 0.000000 3.019440 96.250364 -0.000056 27.208178 -0.000442 
20 0.077419 0.000000 3.019440 96.249797 -0.000036 27.447734 -0.001740 
21 6.146616 0.000000 3.019440 96.378679 -0.000109 26.694468 -0.000144 
22 3.112018 0.000000 6.023179 96.157927 -0.000011 27.501599 -0.000268 
23 -2.957179 0.000000 3.019440 96.166041 -0.000009 27.567096 -0.000785 
24 -5.991777 0.000000 3.019440 96.136921 -0.000003 27.569978 -0.000241 
25 -2.957179 0.000000 6.023179 96.146713 -0.000004 27.557348 -0.000360 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
