2 0.000000 100.000000 579.435449
25 16 
1 -5.991777 0.000000 -5.991777 99.758535 -0.000000 -6.975975 -0.000043 
2 6.146616 0.000000 -5.991777 99.759223 -0.000001 -6.961977 -0.000037 
3 6.146616 0.000000 6.023179 99.754973 -0.000001 -6.965163 0.000043 
4 -5.991777 0.000000 6.023179 99.754492 -0.000000 -6.976058 0.000038 
5 0.077419 0.000000 0.015701 99.632061 0.000010 -0.006878 0.007345 
6 -5.991777 0.000000 0.015701 99.756575 -0.000000 -6.978472 -0.000007 
7 0.077419 0.000000 -5.991777 99.762630 -0.000001 -6.969508 -0.000116 
8 6.146616 0.000000 0.015701 99.821421 0.000127 -6.039847 -0.000080 
9 0.077419 0.000000 6.023179 99.750947 -0.000000 -6.970218 0.000116 
10 -2.957179 0.000000 -2.988038 99.764853 -0.000001 -6.976989 -0.000170 
11 -5.991777 0.000000 -2.988038 99.758571 -0.000000 -6.977299 -0.000046 
12 -2.957179 0.000000 -5.991777 99.760753 -0.000000 -6.974446 -0.000085 
13 0.077419 0.000000 -2.988038 99.780828 -0.000002 -6.951861 -0.000454 
14 -2.957179 0.000000 0.015701 99.756982 -0.000001 -6.986919 -0.000027 
15 3.112018 0.000000 -2.988038 99.767448 -0.000005 -6.922979 -0.000147 
16 3.112018 0.000000 -5.991777 99.761165 -0.000001 -6.964263 -0.000079 
17 6.146616 0.000000 -2.988038 99.762367 -0.000006 -6.914756 -0.000034 
18 3.112018 0.000000 0.015701 99.856507 -0.001246 -5.518255 -0.000177 
19 3.112018 0.000000 3.019440 99.750655 -0.000002 -6.934405 0.000172 
20 0.077419 0.000000 3.019440 99.734814 -0.000002 -6.954274 0.000460 
21 6.146616 0.000000 3.019440 99.756676 -0.000001 -6.938714 0.000046 
22 3.112018 0.000000 6.023179 99.752791 -0.000001 -6.966009 0.000086 
23 -2.957179 0.000000 3.019440 99.748752 -0.000001 -6.977268 0.000150 
24 -5.991777 0.000000 3.019440 99.754536 -0.000000 -6.977361 0.000035 
25 -2.957179 0.000000 6.023179 99.752469 -0.000000 -6.974678 0.000080 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
